actor_id,area,lat,lng,datasource_id
AD,470,425000,15000,WORLD_BANK:LandArea:v20220916
AE,71020,244511,543969,WORLD_BANK:LandArea:v20220916
AF,652230,345328,691658,WORLD_BANK:LandArea:v20220916
AG,440,171210,-618447,WORLD_BANK:LandArea:v20220916
AL,27400,413300,198200,WORLD_BANK:LandArea:v20220916
AM,28470,401813,445144,WORLD_BANK:LandArea:v20220916
AO,1246700,-88383,132344,WORLD_BANK:LandArea:v20220916
AR,2736690,-345997,-583819,WORLD_BANK:LandArea:v20220916
AS,200,-142740,-1707046,WORLD_BANK:LandArea:v20220916
AT,82520,482083,163725,WORLD_BANK:LandArea:v20220916
AU,7692020,-352931,1491269,WORLD_BANK:LandArea:v20220916
AW,180,125186,-700358,WORLD_BANK:LandArea:v20220916
AZ,82646,403667,498352,WORLD_BANK:LandArea:v20220916
BA,51200,438563,184132,WORLD_BANK:LandArea:v20220916
BB,430,130975,-596167,WORLD_BANK:LandArea:v20220916
BD,130170,237289,903944,WORLD_BANK:LandArea:v20220916
BE,30280,508352,43314,WORLD_BANK:LandArea:v20220916
BF,273600,123686,-15275,WORLD_BANK:LandArea:v20220916
BG,108560,426978,233217,WORLD_BANK:LandArea:v20220916
BH,785,262250,505775,WORLD_BANK:LandArea:v20220916
BI,25680,-33825,293611,WORLD_BANK:LandArea:v20220916
BI,25680,-34283,299250,WORLD_BANK:LandArea:v20220916
BJ,112760,64020,25179,WORLD_BANK:LandArea:v20220916
BJ,112760,64833,26166,WORLD_BANK:LandArea:v20220916
BM,54,322941,-647839,WORLD_BANK:LandArea:v20220916
BN,5270,49166,1149167,WORLD_BANK:LandArea:v20220916
BO,1083300,-190431,-652592,WORLD_BANK:LandArea:v20220916
BO,1083300,-164942,-681474,WORLD_BANK:LandArea:v20220916
BR,8358140,-157939,-478828,WORLD_BANK:LandArea:v20220916
BS,10010,250667,-773332,WORLD_BANK:LandArea:v20220916
BT,38140,274833,896333,WORLD_BANK:LandArea:v20220916
BW,566730,-246569,259086,WORLD_BANK:LandArea:v20220916
BY,202980,539022,275618,WORLD_BANK:LandArea:v20220916
BZ,22810,172500,-887675,WORLD_BANK:LandArea:v20220916
CA,8965590,454247,-756949,WORLD_BANK:LandArea:v20220916
CD,2267050,-43317,153139,WORLD_BANK:LandArea:v20220916
CF,622980,43732,185628,WORLD_BANK:LandArea:v20220916
CG,341500,-42667,152833,WORLD_BANK:LandArea:v20220916
CH,39516,469480,74474,WORLD_BANK:LandArea:v20220916
CI,318000,53364,-40267,WORLD_BANK:LandArea:v20220916
CI,318000,68161,-52742,WORLD_BANK:LandArea:v20220916
CL,743532,-334500,-706667,WORLD_BANK:LandArea:v20220916
CM,472710,38578,115181,WORLD_BANK:LandArea:v20220916
CN,9424702,399040,1164075,WORLD_BANK:LandArea:v20220916
CO,1109500,46125,-740705,WORLD_BANK:LandArea:v20220916
CR,51060,99332,-840832,WORLD_BANK:LandArea:v20220916
CU,103800,231367,-823589,WORLD_BANK:LandArea:v20220916
CV,4030,149177,-235092,WORLD_BANK:LandArea:v20220916
CW,444,121080,-689350,WORLD_BANK:LandArea:v20220916
CY,9240,351725,333650,WORLD_BANK:LandArea:v20220916
CZ,77198,500833,144167,WORLD_BANK:LandArea:v20220916
DE,349390,525167,133833,WORLD_BANK:LandArea:v20220916
DJ,23180,115950,431481,WORLD_BANK:LandArea:v20220916
DK,40000,556805,125615,WORLD_BANK:LandArea:v20220916
DM,750,153000,-613833,WORLD_BANK:LandArea:v20220916
DO,48310,184764,-698933,WORLD_BANK:LandArea:v20220916
DZ,2381741,367764,30586,WORLD_BANK:LandArea:v20220916
EC,248360,-2200,-785125,WORLD_BANK:LandArea:v20220916
EE,42750,594372,247450,WORLD_BANK:LandArea:v20220916
EG,995450,300444,312358,WORLD_BANK:LandArea:v20220916
ER,121040,153333,389167,WORLD_BANK:LandArea:v20220916
ES,499556,404167,-37167,WORLD_BANK:LandArea:v20220916
ET,1128571,90272,387369,WORLD_BANK:LandArea:v20220916
FI,303940,601756,249342,WORLD_BANK:LandArea:v20220916
FJ,18270,-181332,1784333,WORLD_BANK:LandArea:v20220916
FM,700,69178,1581850,WORLD_BANK:LandArea:v20220916
FO,1366,620000,-67833,WORLD_BANK:LandArea:v20220916
FR,547557,488566,23522,WORLD_BANK:LandArea:v20220916
GA,257670,3901,94544,WORLD_BANK:LandArea:v20220916
GB,241930,515072,-1275,WORLD_BANK:LandArea:v20220916
GD,340,120444,-617417,WORLD_BANK:LandArea:v20220916
GE,69490,417224,447924,WORLD_BANK:LandArea:v20220916
GH,227533,56037,-1870,WORLD_BANK:LandArea:v20220916
GI,10,361323,-53781,WORLD_BANK:LandArea:v20220916
GL,410450,641750,-517333,WORLD_BANK:LandArea:v20220916
GM,10120,134531,-165775,WORLD_BANK:LandArea:v20220916
GN,245720,95380,-136773,WORLD_BANK:LandArea:v20220916
GQ,28050,37521,87737,WORLD_BANK:LandArea:v20220916
GR,128900,379842,237281,WORLD_BANK:LandArea:v20220916
GT,107160,146099,-905252,WORLD_BANK:LandArea:v20220916
GU,540,134745,1447504,WORLD_BANK:LandArea:v20220916
GW,28120,118592,-155956,WORLD_BANK:LandArea:v20220916
GY,196850,67833,-581667,WORLD_BANK:LandArea:v20220916
HK,1050,223069,1141831,WORLD_BANK:LandArea:v20220916
HN,111890,140942,-872067,WORLD_BANK:LandArea:v20220916
HR,55960,458131,159772,WORLD_BANK:LandArea:v20220916
HT,27560,185425,-723386,WORLD_BANK:LandArea:v20220916
HU,91260,474983,190408,WORLD_BANK:LandArea:v20220916
ID,1877519,-62146,1068451,WORLD_BANK:LandArea:v20220916
IE,68890,533497,-62603,WORLD_BANK:LandArea:v20220916
IL,21640,317833,352167,WORLD_BANK:LandArea:v20220916
IM,570,541500,-44819,WORLD_BANK:LandArea:v20220916
IN,2973190,286139,772090,WORLD_BANK:LandArea:v20220916
IQ,434128,333500,444167,WORLD_BANK:LandArea:v20220916
IR,1622500,357000,514167,WORLD_BANK:LandArea:v20220916
IS,100830,641474,-219350,WORLD_BANK:LandArea:v20220916
IT,295717,418930,124827,WORLD_BANK:LandArea:v20220916
JM,10830,179714,-767931,WORLD_BANK:LandArea:v20220916
JO,88794,319500,359333,WORLD_BANK:LandArea:v20220916
JP,364500,356839,1397744,WORLD_BANK:LandArea:v20220916
KE,569140,-12864,368172,WORLD_BANK:LandArea:v20220916
KG,191800,428667,745667,WORLD_BANK:LandArea:v20220916
KH,176520,115696,1049210,WORLD_BANK:LandArea:v20220916
KI,810,13382,1730175,WORLD_BANK:LandArea:v20220916
KM,1861,-117036,432536,WORLD_BANK:LandArea:v20220916
KN,260,172983,-627342,WORLD_BANK:LandArea:v20220916
KP,120410,390300,1257300,WORLD_BANK:LandArea:v20220916
KR,97600,375600,1269900,WORLD_BANK:LandArea:v20220916
KW,17820,293750,479799,WORLD_BANK:LandArea:v20220916
KY,240,192866,-813744,WORLD_BANK:LandArea:v20220916
KZ,2699700,511333,714333,WORLD_BANK:LandArea:v20220916
LA,230800,179667,1026000,WORLD_BANK:LandArea:v20220916
LB,10230,338869,355131,WORLD_BANK:LandArea:v20220916
LC,610,140167,-609833,WORLD_BANK:LandArea:v20220916
LI,160,471397,95219,WORLD_BANK:LandArea:v20220916
LK,61860,69167,798332,WORLD_BANK:LandArea:v20220916
LK,61860,69000,799164,WORLD_BANK:LandArea:v20220916
LR,96320,63106,-108047,WORLD_BANK:LandArea:v20220916
LS,30360,-293100,274800,WORLD_BANK:LandArea:v20220916
LT,62620,546833,252833,WORLD_BANK:LandArea:v20220916
LU,2574,496106,61327,WORLD_BANK:LandArea:v20220916
LV,62230,569475,241069,WORLD_BANK:LandArea:v20220916
LY,1759540,328752,131875,WORLD_BANK:LandArea:v20220916
MA,446300,340253,-68361,WORLD_BANK:LandArea:v20220916
MA,446300,260928,-106089,WORLD_BANK:LandArea:v20220916
MC,2,437396,74069,WORLD_BANK:LandArea:v20220916
MD,32884,470227,288353,WORLD_BANK:LandArea:v20220916
ME,13450,424397,192661,WORLD_BANK:LandArea:v20220916
MF,50,180706,-630847,WORLD_BANK:LandArea:v20220916
MG,581800,-189386,475214,WORLD_BANK:LandArea:v20220916
MH,180,70918,1713802,WORLD_BANK:LandArea:v20220916
MK,25220,419833,214333,WORLD_BANK:LandArea:v20220916
ML,1220190,126458,-79922,WORLD_BANK:LandArea:v20220916
MM,652670,197475,961150,WORLD_BANK:LandArea:v20220916
MM,652670,167950,961600,WORLD_BANK:LandArea:v20220916
MN,1557506,479214,1069055,WORLD_BANK:LandArea:v20220916
MO,32,222109,1135529,WORLD_BANK:LandArea:v20220916
MP,460,152137,1457546,WORLD_BANK:LandArea:v20220916
MR,1030700,180858,-159785,WORLD_BANK:LandArea:v20220916
MT,320,358977,145125,WORLD_BANK:LandArea:v20220916
MU,2030,-201667,575000,WORLD_BANK:LandArea:v20220916
MV,300,41750,735083,WORLD_BANK:LandArea:v20220916
MW,94280,-139833,337832,WORLD_BANK:LandArea:v20220916
MX,1943950,194333,-991333,WORLD_BANK:LandArea:v20220916
MY,328550,31478,1016953,WORLD_BANK:LandArea:v20220916
MZ,786380,-259152,325764,WORLD_BANK:LandArea:v20220916
NA,823290,-225608,170657,WORLD_BANK:LandArea:v20220916
NC,18280,-222625,1664443,WORLD_BANK:LandArea:v20220916
NE,1266700,135086,21111,WORLD_BANK:LandArea:v20220916
NG,910770,90556,74914,WORLD_BANK:LandArea:v20220916
NI,120340,121500,-862667,WORLD_BANK:LandArea:v20220916
NL,33670,523667,48833,WORLD_BANK:LandArea:v20220916
NL,33670,520800,43099,WORLD_BANK:LandArea:v20220916
NO,364285,599111,107528,WORLD_BANK:LandArea:v20220916
NP,143350,277167,853667,WORLD_BANK:LandArea:v20220916
NR,20,-5477,1669209,WORLD_BANK:LandArea:v20220916
NZ,263310,-412889,1747772,WORLD_BANK:LandArea:v20220916
OM,309500,236139,585922,WORLD_BANK:LandArea:v20220916
PA,74180,90000,-795000,WORLD_BANK:LandArea:v20220916
PE,1280000,-120600,-770375,WORLD_BANK:LandArea:v20220916
PF,3471,-175334,-1495667,WORLD_BANK:LandArea:v20220916
PG,452860,-94789,1471494,WORLD_BANK:LandArea:v20220916
PH,298170,146000,1209833,WORLD_BANK:LandArea:v20220916
PK,770880,336989,730369,WORLD_BANK:LandArea:v20220916
PL,306130,522299,210111,WORLD_BANK:LandArea:v20220916
PR,8870,184037,-660635,WORLD_BANK:LandArea:v20220916
PS,6020,318980,352042,WORLD_BANK:LandArea:v20220916
PT,91605,387080,-91390,WORLD_BANK:LandArea:v20220916
PW,460,75006,1346242,WORLD_BANK:LandArea:v20220916
PY,397300,-253000,-576333,WORLD_BANK:LandArea:v20220916
QA,11490,253000,515332,WORLD_BANK:LandArea:v20220916
RO,230080,444000,260833,WORLD_BANK:LandArea:v20220916
RS,87460,448167,204667,WORLD_BANK:LandArea:v20220916
RU,16376870,557558,376178,WORLD_BANK:LandArea:v20220916
RW,24670,-19536,300606,WORLD_BANK:LandArea:v20220916
SA,2149690,246500,467100,WORLD_BANK:LandArea:v20220916
SB,27990,-94332,1599500,WORLD_BANK:LandArea:v20220916
SC,460,-46236,554544,WORLD_BANK:LandArea:v20220916
SD,1868000,156031,325265,WORLD_BANK:LandArea:v20220916
SE,407283,593294,180686,WORLD_BANK:LandArea:v20220916
SG,718,13000,1038000,WORLD_BANK:LandArea:v20220916
SI,20136,460500,145167,WORLD_BANK:LandArea:v20220916
SK,48080,481447,171128,WORLD_BANK:LandArea:v20220916
SL,72180,84833,-132331,WORLD_BANK:LandArea:v20220916
SM,60,439320,124484,WORLD_BANK:LandArea:v20220916
SN,192530,147319,-174572,WORLD_BANK:LandArea:v20220916
SO,627340,20408,453425,WORLD_BANK:LandArea:v20220916
SR,156000,58667,-551667,WORLD_BANK:LandArea:v20220916
SS,631930,48500,316000,WORLD_BANK:LandArea:v20220916
ST,960,3333,67333,WORLD_BANK:LandArea:v20220916
SV,20720,136989,-891914,WORLD_BANK:LandArea:v20220916
SX,34,180256,-630492,WORLD_BANK:LandArea:v20220916
SY,183630,335131,362919,WORLD_BANK:LandArea:v20220916
SZ,17200,-263208,311617,WORLD_BANK:LandArea:v20220916
SZ,17200,-264465,312064,WORLD_BANK:LandArea:v20220916
TC,950,214664,-711360,WORLD_BANK:LandArea:v20220916
TD,1259200,121100,150500,WORLD_BANK:LandArea:v20220916
TG,54390,61319,12228,WORLD_BANK:LandArea:v20220916
TH,510890,137500,1005167,WORLD_BANK:LandArea:v20220916
TJ,138790,385730,687864,WORLD_BANK:LandArea:v20220916
TL,14870,-85536,1255783,WORLD_BANK:LandArea:v20220916
TM,469930,379500,583833,WORLD_BANK:LandArea:v20220916
TN,155360,368008,101800,WORLD_BANK:LandArea:v20220916
TO,720,-211347,-1752083,WORLD_BANK:LandArea:v20220916
TR,769630,399300,328500,WORLD_BANK:LandArea:v20220916
TT,5130,106667,-615167,WORLD_BANK:LandArea:v20220916
TV,30,-85243,1791942,WORLD_BANK:LandArea:v20220916
TZ,885800,-68000,392832,WORLD_BANK:LandArea:v20220916
TZ,885800,-61835,357460,WORLD_BANK:LandArea:v20220916
UA,579400,504500,305236,WORLD_BANK:LandArea:v20220916
UG,200520,3136,325811,WORLD_BANK:LandArea:v20220916
US,9147420,389047,-770163,WORLD_BANK:LandArea:v20220916
UY,175020,-348667,-561667,WORLD_BANK:LandArea:v20220916
UZ,440650,413000,692667,WORLD_BANK:LandArea:v20220916
VC,390,131667,-612333,WORLD_BANK:LandArea:v20220916
VE,882050,105000,-669333,WORLD_BANK:LandArea:v20220916
VG,150,184167,-646167,WORLD_BANK:LandArea:v20220916
VI,350,183419,-649332,WORLD_BANK:LandArea:v20220916
VN,313429,210245,1058412,WORLD_BANK:LandArea:v20220916
VU,12190,-177333,1683167,WORLD_BANK:LandArea:v20220916
WS,2780,-138333,-1718333,WORLD_BANK:LandArea:v20220916
YE,527970,153500,442000,WORLD_BANK:LandArea:v20220916
ZA,1213090,-257464,281881,WORLD_BANK:LandArea:v20220916
ZA,1213090,-339250,184250,WORLD_BANK:LandArea:v20220916
ZA,1213090,-291000,262167,WORLD_BANK:LandArea:v20220916
ZM,743390,-154167,282833,WORLD_BANK:LandArea:v20220916
ZW,386850,-178292,310522,WORLD_BANK:LandArea:v20220916
